Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2018 Specialized Fatboy w/ spare fork,2018,Specialized,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,130 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3742588/
2023 Specialized Turbo Comp Carbon,2023,Specialized,NoModelFound,6100,USD,New - Unridden/With Tags,M,29,160 mm,150 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3741744/
2017 Rocky Mountain Soul Size M - 1k in upgrades,2017,Rocky Mountain,NoModelFound,1104,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,150 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3737365/
2019 Ghost SL-AMR 6.9 Carbon,2019,NoManufacturer,NoModelFound,1800,USD,"Good - Used, Mechanically Sound",M,29,130 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3741444/
2020 JEFFSY 29 CF PRO RACE FRAME XL SILVER COLOR,2020,NoManufacturer,NoModelFound,4900,USD,"Good - Used, Mechanically Sound",XL,29,160 mm,150 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3735036/
2022 Trek fuel 97,2022,Trek,NoModelFound,3900,USD,New - Unridden/With Tags,M,29,160 mm,160 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3741099/
"1997 DMR Trailstar LT 16""",1997,NoManufacturer,NoModelFound,442,CAD,"Good - Used, Mechanically Sound",16,26,130 mm,0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3741027/
2021 Specialized rock hopper,2021,Specialized,NoModelFound,500,USD,Excellent - Lightly Ridden,M,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3734964/
2019 Santacruz 5010 Carbon C xl,2019,NoManufacturer,NoModelFound,2900,USD,Excellent - Lightly Ridden,XL,27.5 / 650B,140 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3740835/
2019 devinci koban 27.5+.  size larg,2019,Devinci,NoModelFound,1178,CAD,Excellent - Lightly Ridden,L,27.5 / 650B,110 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3739081/
2021 Kona Process 134 CR 29,2021,Kona,NoModelFound,2650,CAD,Excellent - Lightly Ridden,M,29,140 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3694416/
2019 X-Caliber 9,2019,NoManufacturer,NoModelFound,800,USD,Excellent - Lightly Ridden,S,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3736305/
2019 Norco opitc c2,2019,Norco,NoModelFound,1700,USD,Excellent - Lightly Ridden,L,29,,,Carbon Fiber,model,https://www.pinkbike.com/buysell/3712928/
2019 Giant Trance Advanced 2 - XL,2019,Giant,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",XL,27.5 / 650B,150 mm,140 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3732602/
2021 Siskiu T-7 Mountain Bike,2021,NoManufacturer,NoModelFound,1100,USD,Excellent - Lightly Ridden,S,27.5 / 650B,150 mm,200 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3688430/
2010 Looking for Norco Manik or Sasquatch,2010,Norco,NoModelFound,589,CAD,Excellent - Lightly Ridden,M,26,160 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3738520/
2021 BMC SpeedFox 3 size M NX Eagle Like New!,2021,NoManufacturer,NoModelFound,2100,USD,Excellent - Lightly Ridden,M,29,130 mm,120 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3728115/
"2012 Opus Prime: 29 X7 build, 2 wheel sets. new price",2012,NoManufacturer,NoModelFound,662,CAD,"Good - Used, Mechanically Sound",M,29,100 mm,100 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3737864/
