Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
Trek Super Fly Large,,Trek,NoModelFound,450,USD,"Good - Used, Mechanically Sound",L,29,100 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3841271/
2024 Specialezed S-Works Epic World Cup,2024,NoManufacturer,NoModelFound,8500,USD,Excellent - Lightly Ridden,M,29,110 mm,80 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3841176/
2009 Niner MCR 9 steel mtb frame medium,2009,Niner,NoModelFound,200,USD,Poor - Needs Servicing,M,29,0 mm (Rigid),0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3690945/
2018 Kona Tika Hardtail XS,2018,Kona,NoModelFound,515,CAD,"Good - Used, Mechanically Sound",XS,26,100 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3840412/
Polygon Siskiu D5 Size M,,Polygon,Siskiu D,900,USD,Excellent - Lightly Ridden,M,27.5 / 650B,120 mm,120 mm,Aluminium,year,https://www.pinkbike.com/buysell/3833966/
2015 Santa Cruz Tall Boy size M,2015,Santa Cruz,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",M,29,100 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3496065/
2015 Fuji Nevada,2015,NoManufacturer,NoModelFound,250,USD,Excellent - Lightly Ridden,M,27.5 / 650B,100 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3393730/
2022 BMC Twostroke 01 Five Medium,2022,NoManufacturer,NoModelFound,2499,USD,New - Unridden/With Tags,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3767254/
Exitway Overfly Small Carbon Mountain Bike,,NoManufacturer,NoModelFound,899,USD,"Good - Used, Mechanically Sound",17,27.5 / 650B,100 mm,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3769540/
"2022 Trek Procaliber 9.6, carbon, medium",2022,Trek,NoModelFound,2250,USD,"Good - Used, Mechanically Sound",M,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3836247/
Marin TEAM CXR 26” T3 Carbon Small,,Marin,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",15,26,,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3838985/
Cove Hustler Size M (c.2009),2009,NoManufacturer,NoModelFound,515,CAD,"Good - Used, Mechanically Sound",M,26,160 mm,,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3838776/
Trek 6500 ZX mountain bike,6500,Trek,NoModelFound,184,CAD,"Good - Used, Mechanically Sound",M,26,,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3789568/
Deep South Carbon Hardtail,,NoManufacturer,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",XL,29,100 mm,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3838626/
2022 Ripley AF NGX Medium frame,2022,NoManufacturer,NoModelFound,2200,USD,Excellent - Lightly Ridden,M,29,,,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3838087/
1998 super v,1998,NoManufacturer,NoModelFound,200,USD,"Good - Used, Mechanically Sound",18,26,60 mm,80 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3837904/
2023 XL Spot Bikes Rocker Belt Drive Single Speed Hardtail,2023,NoManufacturer,NoModelFound,5000,USD,Excellent - Lightly Ridden,XL,29,130 mm,0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3827548/
2023 Revel El Jefe (titanium),2023,Revel,NoModelFound,4300,USD,Excellent - Lightly Ridden,M,29,120 mm,0 mm (Hardtail),Titanium,model,https://www.pinkbike.com/buysell/3761798/
2019 Niner Air 9,2019,Niner,NoModelFound,1100,USD,"Good - Used, Mechanically Sound",M,29,120 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3837285/
2019 Trailcraft Big Mesa 26+ MTB,2019,NoManufacturer,NoModelFound,1400,USD,"Good - Used, Mechanically Sound",S,26,120 mm,0 mm (Hardtail),Aluminium,manufacturer,https://www.pinkbike.com/buysell/3810891/
Specialized Stump Jumper,,Specialized,NoModelFound,200,USD,"Good - Used, Mechanically Sound",19,26,80 mm,0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3836842/
2014 Liv Giant Lust Small,2014,Liv,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,100 mm,110 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3836370/
2023 Scott Spark 950 { TW ) sliver SM,2023,Liv,NoModelFound,2300,USD,New - Unridden/With Tags,S,29,130 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3836107/
2022 Cannondale Quick CX Women's 3,2022,Cannondale,NoModelFound,589,CAD,Excellent - Lightly Ridden,S,700C,60 mm,0 mm (Hardtail),Aluminium,model,https://www.pinkbike.com/buysell/3835850/
2019 Trek Procaliber 9.7,2019,Trek,NoModelFound,1700,USD,"Good - Used, Mechanically Sound",L,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3634106/
Frankin bike - commuter build,,NoManufacturer,NoModelFound,147,CAD,"Good - Used, Mechanically Sound",L,700C,0 mm (Rigid),0 mm (Hardtail),Aluminium,year,https://www.pinkbike.com/buysell/3835375/
2021 Liv small advance pro 1 gravel,2021,Liv,NoModelFound,2576,CAD,Excellent - Lightly Ridden,S,700C,0 mm (Rigid),0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3780972/
2016 Yeti SB4.5c XL SRAM X01Eagle Fox Factory 34 Extras,2016,Yeti,NoModelFound,2250,USD,"Good - Used, Mechanically Sound",XL,29,140 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3833911/
2013 Banshee Prime large,2013,Banshee,Prime,1693,CAD,Excellent - Lightly Ridden,L,29,150 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3689546/
2015 Garneau Steeple XC carbon fiber,2015,NoManufacturer,NoModelFound,1030,CAD,Excellent - Lightly Ridden,M,700C,0 mm (Rigid),0 mm (Hardtail),Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3818382/
2021 951 Intesne Xc LARGE,2021,NoManufacturer,NoModelFound,1800,USD,"Good - Used, Mechanically Sound",L,29,120 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3832822/
2006 Kina Ubmnut 1x9 commuter,2006,NoManufacturer,NoModelFound,442,CAD,"Good - Used, Mechanically Sound",M,26,0 mm (Rigid),0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3832528/
2021 EPIC EXPERT FULL CARBON,2021,NoManufacturer,NoModelFound,4399,USD,Excellent - Lightly Ridden,XS,29,100 mm,110 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3738544/
2023 BMC Fourstroke THREE,2023,NoManufacturer,NoModelFound,3395,USD,New - Unridden/With Tags,M,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3832033/
2023 BMC Fourstroke FOUR,2023,NoManufacturer,NoModelFound,2995,USD,New - Unridden/With Tags,L,29,100 mm,100 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3832030/
2023 BMC Fourstroke LT ONE,2023,NoManufacturer,NoModelFound,3795,USD,New - Unridden/With Tags,M,29,120 mm,120 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3832021/
2016 Giant Liv Lust Full Suspension MTB light use,2016,Liv,NoModelFound,2100,USD,Excellent - Lightly Ridden,M,27.5 / 650B,120 mm,100 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3831929/
2022 Why Cycles El Jefe,2022,NoManufacturer,NoModelFound,4500,USD,Excellent - Lightly Ridden,M,29,120 mm,0 mm (Hardtail),Titanium,manufacturer,https://www.pinkbike.com/buysell/3831865/
2015 Cannondale F29 Carbon 3,2015,Cannondale,NoModelFound,600,USD,"Good - Used, Mechanically Sound",L,29,90 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3078357/
Scott Scale team,,Scott,Scale,850,USD,Poor - Needs Servicing,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,year,https://www.pinkbike.com/buysell/3712704/
2016 Ibis T-29/Tranny 29er Small,2016,Ibis,NoModelFound,1500,USD,"Good - Used, Mechanically Sound",S,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3830661/
2022 New! Sale! Mondraker Podium Carbon! Rockshox SID!,2022,Mondraker,NoModelFound,2274,CAD,New - Unridden/With Tags,M,29,100 mm,0 mm (Hardtail),Carbon Fiber,model,https://www.pinkbike.com/buysell/3699354/
2006 Haro Sonix VL120 Large,2006,Haro,NoModelFound,294,CAD,"Good - Used, Mechanically Sound",L,26,100 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3618415/
2015 Specialized Era Comp Carbon Fiber Women ( M= Men),2015,Specialized,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",L,29,100 mm,80 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3830257/
