Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2019 Giant Trance 3 - Medium,2019,Giant,NoModelFound,2019,,1500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,model
2022 Transition Sentinel Ti Grey Large,2022,Transition,Sentinel,2022,,5000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Kona Process X  Large,2022,Kona,Process X,2022,,4000,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2012 Rocky Mountain Slayer 50 (PRICE DROP),2012,Rocky Mountain,Slayer,2012,,600,CAD,"Good - Used, Mechanically Sound",S,"26""",160 mm,currency
2022 Marin Alpine Trail XR,2022,Ari,Trail,2022,,2450,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2008 Small Kona Stinky Air,2008,Kona,NoModelFound,2008,,400,USD,"Good - Used, Mechanically Sound","15""","26""",180 mm,model
2021 Kona Process 153 Medium,2021,Kona,Process 153,2021,,2200,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2019 Norco sight A3,2019,Norco,Sight,2019,,1650,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2020 Slayer C70 XL,2020,NoManufacturer,Slayer,2020,,2800,CAD,"Good - Used, Mechanically Sound",XL,"29""",170 mm,manufacturer
2019 YT Capra AL Comp XL 29er,2019,YT,Capra,2019,,3400,CAD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2023 Megatower GX AXS RSV size M,2023,NoManufacturer,Megatower,2023,,6500,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,manufacturer
2018 Niner RIP 9 RDO - XL Frame,2018,Niner,RIP 9 RDO,2018,,2900,USD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2016 trek slash 8 blue and green,2016,Trek,Slash,2016,,2100,USD,"Good - Used, Mechanically Sound","17.5""","29""",150 mm,currency
"2017 Specialized Enduro Comp / 29""",2017,Specialized,Enduro,2017,,2100,CAD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2017 Yeti SB 150 Size Medium,2017,Yeti,NoModelFound,2017,,3500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
2019 Yeti SB150 C/Series,2019,Yeti,SB150,2019,,4000,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
