Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review
2022 Capra 29 CORE 4 Nox Blue XL,2022,NoManufacturer,Capra,2022,,4000,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,manufacturer
2015 Giant Reign 1,2015,Giant,Reign,2015,,1750,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2022 Jamis Hardline C4 Large,2022,Jamis,Hardline,2022,,3200,USD,Excellent - Lightly Ridden,"19""","27.5"" / 650B",160 mm,currency
2021 Kona Process 153 Enduro Bike,2021,Kona,Nduro,2021,,2500,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
"2019 Cannondale Jekyll 2 Carbon, Medium, Carbon Wheels",2019,Cannondale,Jekyll,2019,,2000,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,currency
2020 Trek Slash 9.8 GX,2020,Trek,Slash,2020,,2800,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2016 MOJO hd3 full carbon bike,2016,NoManufacturer,Mojo,2016,,1950,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,manufacturer
2021 Rocky Mountain Instinct- C90 size L,2021,Rocky Mountain,Instinct,2021,,3800,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2021 Banshee Titan v3 Large,2021,Banshee,Titan,2021,,6500,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Stanton FS160 Full Suspension XL Bike,2022,NoManufacturer,NoModelFound,2022,,2450,USD,Excellent - Lightly Ridden,"19.5""","27.5"" / 650B",170 mm,manufacturer
Intense Carbine 29,,Intense,Carbine,,,1599,USD,Excellent - Lightly Ridden,M,"29""",,price
2020 Cotic Rocket small,2020,NoManufacturer,NoModelFound,2020,,2500,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",150 mm,manufacturer
2023 Devinci Kobain Deore,2023,Devinci,Kobain,2023,,1649,CAD,New - Unridden/With Tags,L,"29""",130 mm,currency
2022 Kona Honzo DL,2022,Kona,Honzo,2022,,2299,CAD,New - Unridden/With Tags,M,"29""",140 mm,currency
2021 Commencal META AM/HT Essential,2021,Commencal,NoModelFound,2021,,1900,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",150 mm,model
2019 Transition Patrol Carbon XL - MUST SEE,2019,Transition,Patrol,2019,,4000,CAD,Excellent - Lightly Ridden,XL,"27.5"" / 650B",160 mm,currency
2018 Specialized Stumpjumper Comp Carbon 27.5,2018,Specialized,NoModelFound,2018,,2000,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",150 mm,model
2016 Intense Tracer 275,2016,Intense,Tracer,2016,,1200,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
2020 Canyon Spectral 27.5 Excellent condition,2020,Canyon,Spectral,2020,,2750,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2016 Rocky Mountain Altitude 770 MSL,2016,Rocky Mountain,Altitude,2016,,2000,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2019 Rocky Mountain Altitude A50,2019,Rocky Mountain,Altitude,2019,,2500,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2019 Santa Cruz Nomad C,2019,Santa Cruz,Nomad,2019,,2800,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",180 mm,currency
2018 Banshee Rune V2,2018,Banshee,NoModelFound,2018,,1800,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,model
2021 Santa Cruz Bronson C R Large,2021,Santa Cruz,Bronson,2021,,4200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2022 L Esker Elkat E2,2022,NoManufacturer,NoModelFound,2022,,3500,USD,New - Unridden/With Tags,L,"27.5"" / 650B",160 mm,manufacturer
2018 Large Intense Tracer Pro,2018,Intense,Tracer,2018,,2100,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 Trek Slash 9.8 Enduro MTB,2022,Trek,Enduro,2022,,7000,CAD,New - Unridden/With Tags,M,"29""",180 mm,currency
2016 Knolly Warden - Custom Build,2016,Knolly,Warden,2016,,1950,CAD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2021 Transition Sentinel,2021,Transition,Sentinel,2021,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2014 Knolly warden complete,2014,Knolly,Warden,2014,,1750,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",160 mm,currency
2023 Norco Sight,2023,Norco,Sight,2023,,3500,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2020 Transition Patrol GX,2020,Transition,Patrol,2020,,2500,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2022 Yt Decoy,2022,YT,Deco,2022,,6500,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 Ferrum LVN160,2023,NoManufacturer,NoModelFound,2023,,3100,USD,Excellent - Lightly Ridden,M,"29""",160 mm,manufacturer
2021 Devinic Spartan XT 12S Medium,2021,NoManufacturer,Spartan,2021,,5800,CAD,Excellent - Lightly Ridden,M,"29""",180 mm,manufacturer
2018 Intense Carbine Size L,2018,Intense,Carbine,2018,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2018 Transition Carbon Patrol-Medium,2018,Transition,Patrol,2018,,2800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2018 S Works Turbo Levo Expert,2018,NoManufacturer,Turbo Levo,2018,,4000,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",140 mm,manufacturer
2015 Santa Cruz Bronson - Frame XO1,2015,Santa Cruz,Bronson,2015,,2000,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",160 mm,currency
"2023 Trek Slash 9.9 XTR 29er, Small.",2023,Trek,Slash,2023,,5099,USD,Excellent - Lightly Ridden,S,"29""",160 mm,currency
2017 Santa Cruz Bronson C,2017,Santa Cruz,Bronson,2017,,2500,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",150 mm,currency
2023 Specialized Stump Jumper EVO COMP ALLOY SMK/BLK S2,2023,Specialized,NoModelFound,2023,,4799,CAD,New - Unridden/With Tags,S,"29""",160 mm,model
2023 Specialized Stump Jumper EVO COMP DOP/SND S4,2023,Specialized,NoModelFound,2023,,5999,CAD,New - Unridden/With Tags,L,"29""",160 mm,model
"2023 Rocky Mountain Reaper 24"" Price Drop",2023,Rocky Mountain,NoModelFound,2023,,2599,CAD,New - Unridden/With Tags,"24""","24""",120 mm,model
2023 Rocky Mountain Reaper 26 Microshift - PRICE DROP,2023,Rocky Mountain,NoModelFound,2023,,2899,CAD,New - Unridden/With Tags,S,"26""",130 mm,model
2023 Rocky Mountain Altitude A30 PRICE DROP,2023,Rocky Mountain,Altitude,2023,,3999,CAD,New - Unridden/With Tags,L,"29""",170 mm,currency
2023 Husqvarna E-Bicycles MOUNTAIN CROSS MC2,2023,NoManufacturer,NoModelFound,2023,,5624,CAD,New - Unridden/With Tags,L,"29""",150 mm,manufacturer
2023 GasGas G Enduro 1.0 E-Bicycle - PRICE DROP,2023,NoManufacturer,Enduro,2023,,4000,CAD,New - Unridden/With Tags,L,"29""",160 mm,manufacturer
2023 Specialized Stumpjumper *Custom build* *DEMO*,2023,Specialized,Demo,2023,,4999,CAD,Excellent - Lightly Ridden,M,"29""",150 mm,currency
2021 Forbidden dreadnaught SLX large,2021,Forbidden,NoModelFound,2021,,8000,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,model
2021 Commencal Meta AM Origin with upgrades,2021,Commencal,NoModelFound,2021,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
"2021 YT Capra Pro AL, XL, normal company large, 475mm reach",2021,YT,Capra,2021,,2000,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",180 mm,currency
2022 Norco Sight A1 Size Medium with Upgrades,2022,Norco,Sight,2022,,3500,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",160 mm,currency
2020 Commencal meta am 29,2020,Commencal,NoModelFound,2020,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2021 Intense Tracer  Large 27.5,2021,Intense,Tracer,2021,,2000,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,currency
2022 Commencal meta sx,2022,Commencal,Meta SX,2022,,4999,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Transition Scout,2021,Transition,Scout,2021,,4000,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,currency
2021 Stereo Cube 150 c:62,2021,Cube,Stereo,2021,,4500,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Santa Cruz Bronson C,2020,Santa Cruz,Bronson,2020,,5500,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2017 Transition patrol carbon,2017,Transition,Patrol,2017,,3000,USD,Excellent - Lightly Ridden,XL,"29""",,currency
2023 trek slash 8 upgraded,2023,Trek,Slash,2023,,3500,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2013 Rocky Mountain Slayer 70 w/ upgrades,2013,Rocky Mountain,Slayer,2013,,2000,CAD,"Good - Used, Mechanically Sound",L,"26""",170 mm,currency
2023 GG Megatrail MX Wheels - Rally Build,2023,NoManufacturer,Rail,2023,,3700,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,manufacturer
2023 Transition Spire Custom,2023,Transition,Spire,2023,,6500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2020 Yeti SB150,2020,Yeti,SB150,2020,,3000,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2017 *PRICE REDUCED* Specialized S-Works Enduro,2017,Specialized,Enduro,2017,,3500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2020 Specialized Enduro s3,2020,Specialized,Enduro,2020,,7000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2020 Santa Cruz Bronson 3700 obo,2020,Santa Cruz,Bronson,2020,,3700,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2021 Rocky Mountain Slayer Park edition,2021,Rocky Mountain,Slayer,2021,,3500,CAD,Excellent - Lightly Ridden,M,"29""",200 mm,currency
2018 Specialized stumpjumper 29 medium carbon,2018,Specialized,NoModelFound,2018,,2900,USD,"Good - Used, Mechanically Sound",M,"29""",140 mm,model
2016 Medium specialized status,2016,Specialized,Status,2016,,1750,USD,Excellent - Lightly Ridden,M,"26""",170 mm,currency
2021 Pivot SwitchBlade Team XX1 AXS w/ Fox Live Valve,2021,Pivot,Switchblade,2021,,9400,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2019 Rocky Mountain Altitude C50 - Large,2019,Rocky Mountain,Altitude,2019,,2200,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2018 Specialized Enduro Comp large,2018,Specialized,Enduro,2018,,1800,CAD,Poor - Needs Servicing,L,"27.5"" / 650B",170 mm,currency
2023 Marin Alpine 2 Carbon Medium Mountain Bike,2023,Ari,Alpine,2023,,2700,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2019 Giant Reign,2019,Giant,Reign,2019,,2500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2023 Santa Cruz Nomad 5 C 27.5 S,2023,Santa Cruz,Nomad,2023,,5900,USD,New - Unridden/With Tags,M,"27.5"" / 650B",170 mm,currency
2019 Mondraker Foxy RR SL Small 650b,2019,Mondraker,NoModelFound,2019,,3400,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,model
2024 Santa Cruz Bronson 4 C MX R,2024,Santa Cruz,Bronson,2024,,4600,USD,New - Unridden/With Tags,L,"29""",160 mm,currency
2019 Orbea Rallon M10 Large,2019,Orbea,Rallon,2019,,2200,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2018 Intense Tracer Medium,2018,Intense,Tracer,2018,,1500,USD,Poor - Needs Servicing,M,"27.5"" / 650B",180 mm,currency
2014 Specialized Enduro Comp - Small,2014,Specialized,Enduro,2014,,1400,CAD,Excellent - Lightly Ridden,S,"26""",160 mm,currency
2017 Commencal meta am v4.2,2017,Commencal,NoModelFound,2017,,2300,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,model
2022 Scott Genius 910 (Small),2022,Scott,Genius,2022,,3500,USD,New - Unridden/With Tags,S,"29""",150 mm,currency
2022 Pivot Switchblade Pro XT/XTR (X-Small),2022,Pivot,Switchblade,2022,,5800,USD,New - Unridden/With Tags,XS,"29""",160 mm,currency
2023 Specialized stump jumper evo alloy comp,2023,Specialized,NoModelFound,2023,,2400,USD,Excellent - Lightly Ridden,L,"29""",150 mm,model
2018 IBIS    MOHOHD-4   SMALL,2018,Ibis,NoModelFound,2018,,2100,USD,Excellent - Lightly Ridden,S,"27.5"" / 650B",160 mm,model
2015 Rocky Mountain 950 MSL Rally Edition,2015,Rocky Mountain,NoModelFound,2015,,2500,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,model
2021 XL Devinci Spartan unridden frame,2021,Devinci,Spartan,2021,,5000,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2021 Forbidden druid,2021,Forbidden,Druid,2021,,3500,CAD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",150 mm,currency
2022 Specialized Evo Expert S4,2022,Specialized,NoModelFound,2022,,3000,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,model
2020 Yeti SB 150,2020,Yeti,NoModelFound,2020,,6000,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
2020 DEVINCI SPARTAN XO1 LTD !!NÉGOCIABLE!!,2020,Devinci,Spartan,2020,,3800,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2021 Kona Process 134,2021,Kona,NoModelFound,2021,,2400,CAD,"Good - Used, Mechanically Sound",L,"29""",140 mm,model
2022 Medium Transition Spire,2022,Transition,Spire,2022,,5500,CAD,Excellent - Lightly Ridden,M,"29""",170 mm,currency
2021 Yeti SB130 CLR,2021,Yeti,SB130,2021,,5900,CAD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2020 Marin San Quentin 2,2020,Ari,San Quentin,2020,,1700,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",150 mm,currency
2018 Specialized Enduro Comp Carbon,2018,Specialized,Nduro,2018,,2000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2021 Fezzari Delano Peak - XL - Fox Factory + Extra DPX2,2021,Fezzari,Delano Peak,2021,,2999,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2021 Specialized Stump Jumper Pro Large,2021,Specialized,NoModelFound,2021,,2800,USD,Excellent - Lightly Ridden,L,"29""",140 mm,model
2018 Yeti SB5,2018,Yeti,NoModelFound,2018,,2500,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",150 mm,model
2013 27.5 Norco Range M (Complete Rebuild),2013,Norco,Range,2013,,2100,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",170 mm,currency
2019 Mondraker Foxy 29 M,2019,Mondraker,NoModelFound,2019,,5000,USD,Excellent - Lightly Ridden,M,"29""",170 mm,model
2018 Commencal Meta World Cup XL,2018,Commencal,NoModelFound,2018,,2400,USD,"Good - Used, Mechanically Sound",XL,"27.5"" / 650B",170 mm,model
2021 Scott Ransom 920 Custom Build,2021,Scott,Ransom,2021,,2499,USD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2020 Santa Cruz Megatower C XL,2020,Santa Cruz,Mega,2020,,3900,CAD,"Good - Used, Mechanically Sound",XL,"29""",160 mm,currency
2020 Trek Remedy 9.8,2020,Trek,Remedy,2020,,2700,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",160 mm,currency
2021 Giant reign sx,2021,Giant,Reign,2021,,3200,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
2023 Chromag rootdown,2023,Chromag,Rootdown,2023,,2000,CAD,Excellent - Lightly Ridden,,,160 mm,currency
2022 Transition Spire Medium,2022,Transition,Spire,2022,,3500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2018 Yeti SB5.5,2018,Yeti,NoModelFound,2018,,2500,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,model
"2022 Giant Reign 29, Upgraded",2022,Giant,Reign,2022,,3500,USD,"Good - Used, Mechanically Sound",L,"29""",180 mm,currency
2021 Transition Scout X01 Eagle,2021,Transition,Scout,2021,,3400,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",150 mm,currency
2018 YT Jeffsy CF Pro with excellent upgrades,2018,YT,Jeffsy,2018,,2500,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2019 Rocky Mountain Thunderbolt. Medium frame C70,2019,Rocky Mountain,Thunderbolt,2019,,3400,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",140 mm,currency
2023 Forbidden Dreadnaught,2023,Forbidden,NoModelFound,2023,,6500,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,model
"2019 Santa Cruz Megatower C, Large",2019,Santa Cruz,Mega,2019,,3800,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2020 Transition Patrol Carbon Size Medium,2020,Transition,Patrol,2020,,3800,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
"2021 Intense Tracer Expert, Large.",2021,Intense,Tracer,2021,,2000,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,currency
2023 Pivot Firebird,2023,Pivot,NoModelFound,2023,,7500,CAD,Excellent - Lightly Ridden,S,"29""",170 mm,model
2020 Transition Sentinel Alloy NX,2020,Transition,Sentinel,2020,,2700,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
Santa Cruz Megatower 2 C S-kit,,Santa Cruz,Megatower,,,5549,USD,New - Unridden/With Tags,L,"29""",170 mm,price
Santa Cruz Nomad 6 MX C R-kit,,Santa Cruz,Nomad,,,4849,USD,New - Unridden/With Tags,L,"29""",170 mm,price
2014 Transition Patrol,2014,Transition,Patrol,2014,,1800,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",140 mm,currency
2023 Norco range c1,2023,Norco,Range,2023,,6500,USD,New - Unridden/With Tags,L,"29""",170 mm,currency
2021 Kona process x large carbon,2021,Kona,Process X,2021,,6000,USD,Excellent - Lightly Ridden,L,"29""",180 mm,currency
2009 TREK REMEDY 9.8 ORANGE 19.5IN LARGE,2009,Trek,Range,2009,,950,USD,"Good - Used, Mechanically Sound","19.5""","26""",170 mm,currency
2020 Commencal meta am 29,2020,Commencal,NoModelFound,2020,,2000,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2021 Yeti SB165,2021,Yeti,SB165,2021,,3800,USD,Excellent - Lightly Ridden,M,"27.5"" / 650B",180 mm,currency
2019 Giant Trance 27.5,2019,Giant,NoModelFound,2019,,1700,USD,"Good - Used, Mechanically Sound","17""","27.5"" / 650B",150 mm,model
2022 Orbea Occam M30 Eagle XL - Mulberry/Blk,2022,Orbea,Occam,2022,,4999,CAD,New - Unridden/With Tags,XL,"29""",140 mm,currency
2022 Kona Process X,2022,Kona,Process X,2022,,2600,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
2022 Santa Cruz Bronson CC MX X01,2022,Santa Cruz,Bronson,2022,,4500,USD,Excellent - Lightly Ridden,L,,160 mm,currency
2016 Intense Carbine - PRICE DROP! LIKE NEW + EXTRAS,2016,Intense,Carbine,2016,,2150,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Chromag Minor Threat size 26,2022,Chromag,Minor Threat,2022,,3950,CAD,Excellent - Lightly Ridden,S,"26""",140 mm,currency
2021 Commencal Meta AM29 Large,2021,Commencal,NoModelFound,2021,,3200,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,model
2019 Cannondale Jekyll 3 Med 27.5,2019,Cannondale,Jekyll,2019,,1800,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
2018 GIant Reign Advanced 1,2018,Giant,Reign,2018,,2200,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
2022 Cannondale Jekyll (FOX FACTORY),2022,Cannondale,Factor,2022,,3900,USD,"Good - Used, Mechanically Sound",XL,"29""",180 mm,currency
2023 Cannondale Habit LT (SRAM Transmission),2023,Cannondale,Habit,2023,,4000,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2020 Rocky Mountain Altitude C90 Large,2020,Rocky Mountain,Altitude,2020,,4000,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",160 mm,currency
"2019 Ibis Ripmo V1, Large",2019,Ibis,Ripmo,2019,,2500,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2022 Large Scott Genius 950,2022,Scott,Genius,2022,,3500,CAD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2023 Pivot - Firebird - XL Frame - TRP DHR EVO brakes,2023,Pivot,NoModelFound,2023,,9000,CAD,Excellent - Lightly Ridden,XL,"29""",170 mm,model
2014 Upgraded Stumpjumper FSR Comp EVO,2014,NoManufacturer,NoModelFound,2014,,1200,USD,"Good - Used, Mechanically Sound",L,"29""",160 mm,manufacturer
2022 Evil Insurgent Gx Medium Slate Grey 27.5,2022,Evil,Insurgent,2022,,5500,CAD,Excellent - Lightly Ridden,M,"27.5"" / 650B",180 mm,currency
2021 Rocky Mountain Altitude C90 Small,2021,Rocky Mountain,Altitude,2021,,4800,CAD,Excellent - Lightly Ridden,S,"27.5"" / 650B",170 mm,currency
2022 zerode katipo 29 fox factory,2022,NoManufacturer,Factor,2022,,5400,CAD,"Good - Used, Mechanically Sound",L,"29""",170 mm,manufacturer
2022 Transition Sentinel custom,2022,Transition,Sentinel,2022,,6500,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2019 Evil Wreckoning Large + Push Coil + Enve,2019,Evil,Wreckoning,2019,,6100,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
2023 Knolly Chilcotin 167 new build kit,2023,Knolly,Chilcotin,2023,,4500,CAD,New - Unridden/With Tags,M,"29""",170 mm,currency
2022 Rocky Mountain Altitude C70 Coil,2022,Rocky Mountain,Altitude,2022,,5445,USD,New - Unridden/With Tags,M,"29""",170 mm,currency
2023 Deviate Claymore Custom Build Green,2023,Deviate,Claymore,2023,,6450,USD,Excellent - Lightly Ridden,XL,"29""",170 mm,currency
"2021 Rocky Mountain Altitude A50, size M",2021,Rocky Mountain,Altitude,2021,,2000,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2018 Intense Carbine Foundation,2018,Intense,Carbine,2018,,2300,CAD,"Good - Used, Mechanically Sound",L,"29""",160 mm,currency
2022 Santa Cruz Bronson CC XX1 AXS,2022,Santa Cruz,Bronson,2022,,6000,USD,Excellent - Lightly Ridden,L,"29""",160 mm,currency
"2016 Specialized, Enduro, Comp. L",2016,Specialized,Enduro,2016,,2300,CAD,Excellent - Lightly Ridden,L,"29""",150 mm,currency
2022 Evil Wreckoning *Push*X01*Fox Factory*Hydra,2022,Evil,Factor,2022,,5500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2021 Specialized Enduro Expert,2021,Specialized,Enduro,2021,,4000,CAD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2022 Cannondale,2022,Cannondale,NoModelFound,2022,,4500,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,model
2022 Santa Cruz Bronson,2022,Santa Cruz,Bronson,2022,,3000,USD,"Good - Used, Mechanically Sound",XL,"29""",150 mm,currency
Banshee Rune V3 - Large - X01 - Fox 38 170mm,,Banshee,Rune V3,,,2900,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",170 mm,price
2022 Transition Spire,2022,Transition,Spire,2022,,2500,USD,"Good - Used, Mechanically Sound",L,"29""",170 mm,currency
"2023 Scott Ransom 910 LG Brand New, Unridden",2023,Scott,Ransom,2023,,5000,USD,New - Unridden/With Tags,L,"29""",170 mm,currency
2023 Stump Jumper Evo Pro Mullet X01/CarbonBars/wheels,2023,NoManufacturer,NoModelFound,2023,,5200,USD,Excellent - Lightly Ridden,L,"29""",160 mm,manufacturer
"2022 Santa Cruz Nomad CC Large, Unridden",2022,Santa Cruz,Nomad,2022,,5500,USD,New - Unridden/With Tags,L,"27.5"" / 650B",170 mm,currency
2013 Santa Cruz Heckler 7- small,2013,Santa Cruz,NoModelFound,2013,,1200,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",130 mm,model
2018 Orbea Occam Carbon Fiber,2018,Orbea,Occam,2018,,3500,USD,"Good - Used, Mechanically Sound",S,"27.5"" / 650B",150 mm,currency
2022 Santa Cruz Bronson CC,2022,Santa Cruz,Bronson,2022,,7200,USD,New - Unridden/With Tags,XL,"29""",160 mm,currency
2019 Specialized Stumpjumper Evo Alloy (S3),2019,Specialized,Stumpjumper EVO,2019,,2500,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",150 mm,currency
2023 Ellsworth Rogue,2023,NoManufacturer,NoModelFound,2023,,1750,USD,New - Unridden/With Tags,L,"27.5"" / 650B",140 mm,manufacturer
2021 Commencal Furious Signature *trade for enduro*,2021,Commencal,Enduro,2021,,5500,CAD,Excellent - Lightly Ridden,L,"27.5"" / 650B",200 mm,currency
2018 Intense Carbine 29 Medium Carbon Wheels,2018,Intense,Carbine,2018,,3000,USD,"Good - Used, Mechanically Sound",M,"29""",160 mm,currency
2021 Deviate Highlander XL,2021,Deviate,Highlander,2021,,5999,USD,Excellent - Lightly Ridden,XL,"29""",160 mm,currency
2018 Stanton Swtichback Ti MkII,2018,NoManufacturer,NoModelFound,2018,,2500,USD,Excellent - Lightly Ridden,"18""","27.5"" / 650B",160 mm,manufacturer
2019 Canyon Strive CF 8,2019,Canyon,Strive,2019,,3000,USD,"Good - Used, Mechanically Sound",XL,"29""",170 mm,currency
2021 Transition spire deore build,2021,Transition,Spire,2021,,3700,CAD,Excellent - Lightly Ridden,L,"29""",170 mm,currency
2021 Specialized Stumpy Evo Expert S3 + Reserves & MT7,2021,Specialized,NoModelFound,2021,,6249,USD,Excellent - Lightly Ridden,M,"29""",160 mm,model
2022 Commencal Meta HT Custom Mullet,2022,Commencal,Meta HT,2022,,2400,USD,"Good - Used, Mechanically Sound",M,,170 mm,currency
2018 Pivot Firebird,2018,Pivot,NoModelFound,2018,,3800,USD,Excellent - Lightly Ridden,L,"27.5"" / 650B",170 mm,model
2017 YT Capra,2017,YT,Capra,2017,,1300,USD,"Good - Used, Mechanically Sound",L,"27.5"" / 650B",180 mm,currency
2022 Trek Slash 9.9 Size M,2022,Trek,Slash,2022,,3000,USD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2022 Specialized enduro s3,2022,Specialized,Enduro,2022,,3150,USD,"Good - Used, Mechanically Sound",M,"29""",170 mm,currency
2022 Kona Process 153,2022,Kona,Process 153,2022,,3400,CAD,Excellent - Lightly Ridden,M,"29""",160 mm,currency
2017 Santa Cruz Nomad,2017,Santa Cruz,Nomad,2017,,1675,USD,"Good - Used, Mechanically Sound",M,"27.5"" / 650B",170 mm,currency
"2022 Devinci Troy C29"" XT 12s LTD",2022,Devinci,Troy,2022,,6899,CAD,New - Unridden/With Tags,L,"29""",160 mm,currency
