Title,Year,Manufacturer,Model,USD Price,Original Currency,Condition,Frame Size,Wheel Size,Front Travel,Rear Travel,Material,Reason for Review,URL
2023 Ibis Ripley AF Deore XL,2023,Ibis,NoModelFound,3299,USD,New - Unridden/With Tags,XL,29,130 mm,120 mm,Aluminium,model,https://www.pinkbike.com/buysell/3892770/
2020 Hightower size L XX AXS Reserve,2020,NoManufacturer,NoModelFound,6850,USD,Excellent - Lightly Ridden,L,29,160 mm,140 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3738391/
2016 Specialized Rhyme Comp Carbon 650b Plus Size M,2016,Specialized,NoModelFound,1349,CAD,"Good - Used, Mechanically Sound",M,27.5 / 650B,140 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3895600/
2021 Banshee prim v3 large (mostly new!),2021,Banshee,NoModelFound,3800,USD,Excellent - Lightly Ridden,L,29,150 mm,135 mm,Aluminium,model,https://www.pinkbike.com/buysell/3895593/
2022 Scott Spark Contessa 910,2022,Scott,Spark,3950,USD,,M,29,130 mm,120 mm,Carbon Fiber,condition,https://www.pinkbike.com/buysell/3290157/
2024 Specialized Stumpjumper S-Works S4,2024,Specialized,NoModelFound,5555,USD,Excellent - Lightly Ridden,L,29,130 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3895587/
2023 Knolly Tyaughton Steel Size L Free Ship in 48 states,2023,Knolly,NoModelFound,1500,USD,Excellent - Lightly Ridden,L,29,150 mm,0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3889167/
2022 KHS 6600 full carbon Medium,2022,KHS,NoModelFound,1895,CAD,Excellent - Lightly Ridden,M,29,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3884728/
2018 Ginat Trance II,2018,NoManufacturer,NoModelFound,1200,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,150 mm,140 mm,Aluminium,manufacturer,https://www.pinkbike.com/buysell/3890123/
2020 Specialized Stumpjumper,2020,Specialized,NoModelFound,2000,USD,"Good - Used, Mechanically Sound",L,27.5 / 650B,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3863763/
2021 Specialized S- Works Stumpjumper 29 Medium,2021,Specialized,NoModelFound,3800,USD,"Good - Used, Mechanically Sound",17.5,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3807984/
2024 Pivot Mach 429 Trail GX/XO,2024,Pivot,NoModelFound,4999,USD,New - Unridden/With Tags,M,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3824597/
2024 Pivot Mach 429 Trail GX/XO,2024,Pivot,NoModelFound,4999,USD,New - Unridden/With Tags,L,29,130 mm,120 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3828196/
2023 Large Carbon Smuggler,2023,NoManufacturer,NoModelFound,4500,USD,"Good - Used, Mechanically Sound",L,29,140 mm,130 mm,Carbon Fiber,manufacturer,https://www.pinkbike.com/buysell/3895529/
2021 Surly Lowside,2021,Surly,NoModelFound,900,USD,Excellent - Lightly Ridden,M,26,0 mm (Rigid),0 mm (Hardtail),Steel,model,https://www.pinkbike.com/buysell/3854090/
2017 Ritchey Timberwolf,2017,NoManufacturer,NoModelFound,1250,USD,"Good - Used, Mechanically Sound",S,27.5 / 650B,130 mm,0 mm (Hardtail),Steel,manufacturer,https://www.pinkbike.com/buysell/3889303/
2019 XL Specialized Stumpjumper expert 29,2019,Specialized,NoModelFound,2300,USD,"Good - Used, Mechanically Sound",XL,29,150 mm,,Carbon Fiber,model,https://www.pinkbike.com/buysell/3892579/
2023 Jamis Faultline A1,2023,Jamis,NoModelFound,2000,USD,Excellent - Lightly Ridden,L,29,140 mm,130 mm,Aluminium,model,https://www.pinkbike.com/buysell/3895493/
2020 Stumpjumper Downieville Large,2020,Evil,NoModelFound,3200,USD,"Good - Used, Mechanically Sound",L,29,140 mm,130 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3895488/
"2020 Liv, Intrigue 3, XS",2020,Liv,Intrigue,1700,USD,"Good - Used, Mechanically Sound",XS,27.5 / 650B,150 mm,,Aluminium,rear travel,https://www.pinkbike.com/buysell/3871373/
2021 ALCHEMY ARCTOS 135 XL 29'er,2021,Alchemy,NoModelFound,3645,CAD,Excellent - Lightly Ridden,XL,29,150 mm,135 mm,Carbon Fiber,model,https://www.pinkbike.com/buysell/3891432/
